GEOID,STATEFP,COUNTYFP,d_amtrak,d_transit,d_regional_airport,d_national_airport,d_college,d_college_3,d_hospital,d_hospital_3,d_private_school,d_private_school_3,d_public_school,d_public_school_3
420912086031,42,091,20710.471591754747,20665.486271103768,36863.16962755593,47136.48522528673,9737.337856704184,13196.88473574132,1405.4625779739881,5761.785837877747,2652.6640058164985,3396.596270630381,2916.8118731919008,3235.3099873062974
420034980002,42,003,15432.643726093975,13225.10187531994,6419.802550271784,34584.828751991234,3831.0122347757797,5561.1183089909755,3176.3863643007917,4138.535676919423,3351.6760846760703,4359.470177064937,291.76115172940604,294.16438232104616
420599707001,42,059,51661.65540368557,15643.695794626658,19178.981474833763,52888.5188139357,15803.873766404573,16308.932964740403,15469.537103961778,15715.354518442695,16732.616572368323,18956.4963839537,8788.946346501138,11374.313230608925
420750020002,42,075,35385.24516382967,86651.44148229365,38190.90250216199,36470.87990810971,17425.036579068637,20573.022068180915,20645.395208556834,23175.72488059132,10502.099431346509,14731.297153117695,5647.506826317739,8694.58889176925
420034572003,42,003,13616.884181302825,4303.725752090906,14433.786487215622,17691.172975983132,6355.932490741225,8916.257644090887,3840.1526700067334,6941.759868411814,3692.5689345972196,4021.239401821413,2136.985232164014,2554.501511170574
420770093003,42,077,4544.797331767765,41534.00124737603,3303.626709302941,3496.5623273426036,829.5008193390688,2048.889741302906,2110.8922330997507,2773.0841807996117,772.4509404289444,935.7725936175086,1162.042540907295,1373.9718329739821
421010379006,42,101,5177.173622772449,1579.341247367449,12859.296840595083,18155.173221972138,4610.108180646331,5084.068550784442,2925.8177497808333,3134.7635349779393,1572.6354182234777,1813.7019122659995,475.6165013968579,931.268598513288
420293043002,42,029,3544.811298881517,3569.7872295914494,13064.613029717922,43757.54537504815,4967.493684714346,6223.853230613644,4323.93388491874,5585.69802062778,3203.1132564924574,3627.2717035922988,2130.3307193421574,2317.5247411487944
420710118043,42,071,4565.7202207256105,49204.321298418494,5007.1668464209015,37941.83518812026,4164.922378390246,4745.302174064725,3626.9864564025797,4461.596772901254,2532.2644766876347,3508.9859788624535,818.7720978712915,2089.2222822814438
421110218003,42,111,35950.17703766765,48661.021717549025,18260.425257261442,41950.73506371775,15033.411137993373,30826.98663753701,11845.75906544893,22265.1116080512,13016.012099983047,13649.127254176014,2737.241766856932,5232.836203283448
420750027012,42,075,28400.79914023472,71017.17242082176,30173.182556294494,33029.677511944275,5774.359383814277,6401.113458971361,4454.170391919009,7607.371561996596,1206.9223538589492,3515.51686484101,1275.8995232566238,2243.0262337717572
420199128001,42,019,32239.99557399124,32219.843394645937,41833.680207982245,36311.88466931119,9578.46576453279,11971.604600349216,15172.827885036184,15796.879045127615,464.80987302012085,4027.786379861654,4844.39225498048,5408.211878952328
420110137011,42,011,32947.81523177627,50681.63399344172,16760.842428902997,37337.5584960109,5014.781918945606,11862.2170574958,18057.61478609201,18684.290567924832,2027.0955623969467,3007.0141663082236,2000.2491909908313,2220.962685830499
421090703001,42,109,45974.144928100366,145290.55555897698,47588.78881332892,76817.66622426781,18661.55638941057,20751.477712507425,23707.81916915682,31152.28805047806,3629.141981224736,4724.533961774749,7167.970104054503,7331.085692811367
420550120003,42,055,46897.37354370855,46896.09111920024,17384.342955154378,57969.174401951816,4294.200859046405,11051.521624925688,6835.306115296737,12349.531376860343,2040.7877948332905,4728.524899241234,617.0794329366968,4733.476890518234
421010107001,42,101,2977.31715051161,235.03719188459272,10548.761306420954,11494.478488677838,1856.4526988253085,2352.4842998020745,1385.2647919830117,1922.6071534582106,460.274918511191,1132.8645300240964,252.19363779815168,368.90809214790113
420792161003,42,079,34492.02496505806,117716.80257200442,61241.38138410942,51369.38122308811,18388.1103023474,20098.555043711494,852.7636367479914,14799.316550041254,2142.538179617671,6282.416588519762,633.6380792791117,767.6839521440692
420293026002,42,029,7370.932062340755,7380.716338050366,23160.141817185042,30091.97489203745,730.3489957634066,4983.5952382037385,1444.5384340408773,3801.952455830016,1214.4579573238234,1348.0067424651127,869.690099033036,1437.226591578381
420110135004,42,011,39795.73743606811,54259.81509889699,11582.991374011346,43890.29546836349,10693.666807339927,11390.573796704213,12581.475626144871,14001.207486359743,4827.882361938666,6555.5160789579795,3185.766679646556,4301.595407904411
420199029001,42,019,49301.029784719736,49228.48219439643,55232.598876711876,51043.0099436738,2788.666643518288,10555.909261980343,2873.1929070801602,11023.441001649246,858.5691543778157,1972.0300200508893,1893.4961137655894,2017.103795919566
420199116002,42,019,36162.50169469643,36208.399235756166,45433.41419193066,40535.701100583196,7866.40548790061,10779.038743779394,12072.558636386719,14675.56644870123,3758.3857248019476,4700.464306042601,6059.089120924254,6237.049815489575
420490110023,42,049,5987.571591154854,134056.5616914662,50734.299306048415,4667.535886240264,1162.942321602238,1534.4042779603435,2004.2237292379116,3873.78879080092,881.1141172470685,1395.9350918813134,1444.1885984511848,2020.9733498091891
420950158011,42,095,22961.46990475756,38307.41649597098,17645.875032424563,17346.792971503353,12379.54394848397,13988.22789162776,12726.667079793917,13638.592985447553,8148.592081164266,10403.508234704279,1215.576762622613,3591.131655191942
